ac_number,constituency,party_2021,party_2026,seat_status,region
145,Musiri,DMK,TVK,Flipped,Delta
146,Thuraiyur,DMK,TVK,Flipped,Delta
147,Perambalur,DMK,TVK,Flipped,Central
148,Kunnam,DMK,DMK,Retained,Central
149,Ariyalur,DMK,AIADMK,Flipped,Central
150,Jayankondam,DMK,PMK,Flipped,Central
151,Tittakudi,DMK,DMK,Retained,Central
152,Vriddhachalam,INC,DMDK,Flipped,Central
153,Neyveli,DMK,AIADMK,Flipped,Central
154,Panruti,DMK,AIADMK,Flipped,Central
155,Cuddalore,DMK,TVK,Flipped,Central
156,Kurinjipadi,DMK,DMK,Retained,Central
157,Bhuvanagiri,AIADMK,AIADMK,Retained,Central
158,Chidambaram,AIADMK,DMK,Flipped,Central
159,Kattumannarkoil,VCK,VCK,Retained,Central
160,Sirkali,DMK,DMK,Retained,Delta
161,Mayiladuthurai,INC,INC,Retained,Delta
162,Poompuhar,DMK,DMK,Retained,Delta
163,Nagapattinam,VCK,DMK,Flipped,Delta
164,Kilvelur,CPI(M),CPI(M),Retained,Delta
165,Vedaranyam,AIADMK,AIADMK,Retained,Delta
166,Thiruthuraipundi,CPI,CPI,Retained,Delta
167,Mannargudi,DMK,AMMK,Flipped,Delta
168,Thiruvarur,DMK,DMK,Retained,Delta
169,Nannilam,AIADMK,AIADMK,Retained,Delta
170,Thiruvidamarudur,DMK,DMK,Retained,Delta
171,Kumbakonam,DMK,TVK,Flipped,Delta
172,Papanasam,DMK,IUML,Flipped,Delta
173,Thiruvaiyaru,DMK,DMK,Retained,Delta
174,Thanjavur,DMK,TVK,Flipped,Delta
175,Orathanad,AIADMK,DMK,Flipped,Delta
176,Pattukkottai,DMK,DMK,Retained,Delta
177,Peravurani,DMK,DMK,Retained,Delta
178,Gandharvakottai,CPI(M),TVK,Flipped,Delta
179,Viralimalai,AIADMK,AIADMK,Retained,Delta
180,Pudukkottai,DMK,DMK,Retained,Delta
181,Thirumayam,DMK,DMK,Retained,Delta
182,Alangudi,DMK,DMK,Retained,Delta
183,Arantangi,INC,TVK,Flipped,Delta
184,Karaikudi,INC,TVK,Flipped,South
185,Tiruppattur,DMK,TVK,Flipped,South
186,Sivaganga,AIADMK,TVK,Flipped,South
187,Manamadurai,DMK,TVK,Flipped,South
188,Melur,AIADMK,INC,Flipped,South
189,Madurai East,DMK,TVK,Flipped,South
190,Sholavandan,DMK,TVK,Flipped,South
191,Madurai North,DMK,TVK,Flipped,South
192,Madurai South,DMK,TVK,Flipped,South
193,Madurai Central,DMK,TVK,Flipped,South
194,Madurai West,AIADMK,TVK,Flipped,South
195,Thiruparankundram,AIADMK,TVK,Flipped,South
196,Thirumangalam,AIADMK,DMK,Flipped,South
197,Usilampatti,AIADMK,TVK,Flipped,South
198,Andipatti,DMK,DMK,Retained,South
199,Periyakulam,DMK,TVK,Flipped,South
200,Bodinayakanur,AIADMK,DMK,Flipped,South
201,Cumbum,DMK,TVK,Flipped,South
202,Rajapalayam,DMK,TVK,Flipped,South
203,Srivilliputhur,AIADMK,TVK,Flipped,South
204,Sattur,DMK,DMK,Retained,South
205,Sivakasi,INC,TVK,Flipped,South
206,Virudhunagar,DMK,TVK,Flipped,South
207,Aruppukottai,DMK,DMK,Retained,South
208,Tiruchuli,DMK,DMK,Retained,South
209,Paramakudi,DMK,DMK,Retained,South
210,Tiruvadanai,INC,TVK,Flipped,South
211,Ramanathapuram,DMK,DMK,Retained,South
212,Mudukulathur,DMK,DMK,Retained,South
213,Vilathikulam,DMK,DMK,Retained,South
214,Thoothukkudi,DMK,TVK,Flipped,South
215,Tiruchendur,DMK,DMK,Retained,South
216,Srivaikuntam,INC,TVK,Flipped,South
217,Ottapidaram,DMK,TVK,Flipped,South
218,Kovilpatti,AIADMK,DMK,Flipped,South
219,Sankarankovil,DMK,AIADMK,Flipped,South
220,Vasudevanallur,DMK,DMK,Retained,South
221,Kadayanallur,AIADMK,DMK,Flipped,South
222,Tenkasi,INC,DMK,Flipped,South
223,Alangulam,AIADMK,DMK,Flipped,South
224,Tirunelveli,BJP,TVK,Flipped,South
225,Ambasamudram,AIADMK,AIADMK,Retained,South
226,Palayamcottai,DMK,DMK,Retained,South
227,Nanguneri,INC,TVK,Flipped,South
228,Radhapuram,DMK,TVK,Flipped,South
229,Kanniyakumari,AIADMK,AIADMK,Retained,South
230,Nagercoil,BJP,DMK,Flipped,South
231,Colachel,INC,INC,Retained,South
232,Padmanabhapuram,DMK,CPI(M),Flipped,South
233,Vilavancode,INC,INC,Retained,South
234,Killiyoor,INC,INC,Retained,South
