ac_number,constituency,region,reserved,winner_party,winner_votes,runner_up_party,runner_up_votes,victory_margin
120,Coimbatore (South),Kongu,GEN,DMK,59724,TVK,57453,2271
121,Singanallur,Kongu,GEN,TVK,84163,INC,65024,19139
122,Kinathukadavu,Kongu,GEN,TVK,99950,DMK,88240,11710
123,Pollachi,Kongu,GEN,DMK,62013,AIADMK,57386,4627
124,Valparai,Kongu,SC,DMK,54671,TVK,45300,9371
125,Udumalaipettai,Kongu,GEN,DMK,68549,AIADMK,65667,2882
126,Madathukulam,Kongu,GEN,DMK,70458,AMMK,54490,15968
127,Palani,South,GEN,AIADMK,66986,TVK,66293,693
128,Oddanchatram,South,GEN,DMK,93099,BJP,49850,43249
129,Athoor,South,GEN,DMK,106240,TVK,83872,22368
130,Nilakkottai,South,SC,TVK,68580,DMK,65655,2925
131,Natham,South,GEN,AIADMK,85708,DMK,73839,11869
132,Dindigul,South,GEN,DMK,74489,TVK,73358,1131
133,Vedasandur,South,GEN,DMK,84948,AIADMK,74885,10063
134,Aravakurichi,Kongu,GEN,DMK,70827,TVK,51445,19382
135,Karur,Kongu,GEN,AIADMK,71542,TVK,69721,1821
136,Krishnarayapuram,Kongu,SC,TVK,62378,AIADMK,58875,3503
137,Kulithalai,Kongu,GEN,DMK,68138,TVK,67559,579
138,Manapparai,Delta,GEN,TVK,83041,AIADMK,81615,1426
139,Srirangam,Delta,GEN,TVK,103235,DMK,69645,33590
140,Tiruchirappalli (West),Delta,GEN,DMK,88235,TVK,83449,4786
141,Tiruchirappalli (East),Delta,GEN,TVK,91381,DMK,63965,27416
142,Thiruverumbur,Delta,GEN,TVK,89837,DMK,81132,8705
143,Lalgudi,Delta,GEN,AIADMK,60795,TVK,58056,2739
144,Manachanallur,Delta,GEN,DMK,81447,TVK,69083,12364
145,Musiri,Delta,GEN,TVK,71281,DMK,53839,17442
146,Thuraiyur,Delta,SC,TVK,66263,AIADMK,56649,9614
147,Perambalur,Central,SC,TVK,90882,DMK,76489,14393
148,Kunnam,Central,GEN,DMK,87237,AIADMK,71680,15557
149,Ariyalur,Central,GEN,AIADMK,95219,DMK,70721,24498
150,Jayankondam,Central,GEN,PMK,88992,DMK,70502,18490
151,Tittakudi,Central,SC,DMK,63106,TVK,60477,2629
152,Vriddhachalam,Central,GEN,DMDK,69351,TVK,66964,2387
153,Neyveli,Central,GEN,AIADMK,63731,DMK,52769,10962
154,Panruti,Central,GEN,AIADMK,78398,VCK,67735,10663
155,Cuddalore,Central,GEN,TVK,70856,INC,55337,15519
156,Kurinjipadi,Central,GEN,DMK,76695,AIADMK,69106,7589
157,Bhuvanagiri,Central,GEN,AIADMK,75707,DMK,73220,2487
158,Chidambaram,Central,GEN,DMK,69739,AIADMK,63992,5747
159,Kattumannarkoil,Central,SC,VCK,85179,PMK,52116,33063
160,Sirkazhi,Delta,SC,DMK,71449,AIADMK,60032,11417
161,Mayiladuthurai,Delta,GEN,INC,68011,PMK,57166,10845
162,Poompuhar,Delta,GEN,DMK,81096,AIADMK,72836,8260
163,Nagapattinam,Delta,GEN,DMK,56305,TVK,46524,9781
164,Kilvelur,Delta,SC,CPI(M),56108,TVK,53830,2278
165,Vedaranyam,Delta,GEN,AIADMK,59172,DMK,51841,7331
166,Thiruthuraipoondi,Delta,SC,CPI,74062,TVK,61140,12922
167,Mannargudi,Delta,GEN,AMMK,68416,DMK,66850,1566
168,Thiruvarur,Delta,GEN,DMK,93408,TVK,75260,18148
169,Nannilam,Delta,GEN,AIADMK,103462,DMK,61738,41724
170,Thiruvidaimarudur,Delta,SC,DMK,79951,TVK,65835,14116
171,Kumbakonam,Delta,GEN,TVK,78650,DMK,77971,679
172,Papanasam,Delta,GEN,IUML,69284,TVK,68219,1065
173,Thiruvaiyaru,Delta,GEN,DMK,80425,TVK,71870,8555
174,Thanjavur,Delta,GEN,TVK,87705,DMK,70750,16955
175,Orathanadu,Delta,GEN,DMK,86759,TVK,51731,35028
176,Pattukkottai,Delta,GEN,DMK,65963,TVK,52209,13754
177,Peravurani,Delta,GEN,DMK,60919,AIADMK,57757,3162
178,Gandharvakottai,Delta,SC,TVK,58795,BJP,47756,11039
179,Viralimalai,Delta,GEN,AIADMK,105773,TVK,43700,62073
180,Pudukkottai,Delta,GEN,DMK,66825,TVK,64958,1867
181,Thirumayam,Delta,GEN,DMK,58201,TVK,56709,1492
182,Alangudi,Delta,GEN,DMK,64929,TVK,51952,12977
183,Aranthangi,Delta,GEN,TVK,73244,INC,63182,10062
184,Karaikudi,South,GEN,TVK,101358,INC,55284,46074
185,Tiruppattur,South,GEN,TVK,83375,DMK,83374,1
186,Sivaganga,South,GEN,TVK,73737,AIADMK,58656,15081
187,Manamadurai,South,SC,TVK,69971,DMK,68763,1208
188,Melur,South,GEN,INC,60080,TVK,57356,2724
189,Madurai East,South,GEN,TVK,118777,DMK,102230,16547
190,Sholavandan,South,SC,TVK,63907,DMK,61229,2678
191,Madurai North,South,GEN,TVK,72853,DMK,54815,18038
192,Madurai South,South,GEN,TVK,62415,DMK,40886,21529
193,Madurai Central,South,GEN,TVK,63414,DMK,44286,19128
194,Madurai West,South,GEN,TVK,88250,DMK,76319,11931
195,Thiruparankundram,South,GEN,TVK,114316,DMK,72763,41553
196,Thirumangalam,South,GEN,DMK,88291,AIADMK,64484,23807
197,Usilampatti,South,GEN,TVK,65743,AIADMK,63938,1805
198,Andipatti,South,GEN,DMK,74324,TVK,64770,9554
199,Periyakulam,South,SC,TVK,85656,VCK,66335,19321
200,Bodinayakanur,South,GEN,DMK,85206,TVK,78401,6805
201,Cumbum,South,GEN,TVK,85394,DMK,84643,751
202,Rajapalayam,South,GEN,TVK,65548,DMK,54943,10605
203,Srivilliputhur,South,SC,TVK,65653,CPI,57072,8581
204,Sattur,South,GEN,DMK,62060,BJP,56071,5989
205,Sivakasi,South,GEN,TVK,68709,INC,57039,11670
206,Virudhunagar,South,GEN,TVK,63653,DMDK,54262,9391
207,Aruppukkottai,South,GEN,DMK,65104,TVK,60161,4943
208,Tiruchuli,South,GEN,DMK,75085,TVK,61600,13485
209,Paramakudi,South,SC,DMK,59161,TVK,55613,3548
210,Tiruvadanai,South,GEN,TVK,69551,INC,67038,2513
211,Ramanathapuram,South,GEN,DMK,89137,TVK,76678,12459
212,Mudhukulathur,South,GEN,DMK,68003,TVK,51405,16598
213,Vilathikulam,South,GEN,DMK,58395,TVK,50167,8228
214,Thoothukkudi,South,GEN,TVK,100536,DMK,62805,37731
215,Tiruchendur,South,GEN,DMK,72723,TVK,66851,5872
216,Srivaikuntam,South,GEN,TVK,58814,AIADMK,57628,1186
217,Ottapidaram,South,SC,TVK,81625,DMK,52542,29083
218,Kovilpatti,South,GEN,DMK,61643,TVK,60800,843
219,Sankarankovil,South,SC,AIADMK,64865,TVK,58376,6489
220,Vasudevanallur,South,SC,DMK,63045,BJP,56462,6583
221,Kadayanallur,South,GEN,DMK,79832,AIADMK,73579,6253
222,Tenkasi,South,GEN,DMK,79699,AIADMK,69400,10299
223,Alangulam,South,GEN,DMK,69170,AIADMK,61372,7798
224,Tirunelveli,South,GEN,TVK,75840,DMK,64426,11414
225,Ambasamudram,South,GEN,AIADMK,65589,INC,55344,10245
226,Palayamkottai,South,GEN,DMK,79744,TVK,65939,13805
227,Nanguneri,South,GEN,TVK,74952,INC,58533,16419
228,Radhapuram,South,GEN,TVK,69947,DMK,57634,12313
229,Kanniyakumari,South,GEN,AIADMK,75045,DMK,74831,214
230,Nagercoil,South,GEN,DMK,69880,TVK,62310,7570
231,Colachal,South,GEN,INC,66207,TVK,63374,2833
232,Padmanabhapuram,South,GEN,CPI(M),68938,TVK,53369,15569
233,Vilavancode,South,GEN,INC,70755,TVK,49785,20970
234,Killiyoor,South,GEN,INC,66434,TVK,65123,1311
